Category,Detail,Cost,Date,Month_period,WeekofYear,DayofWeek,Day_of_Week_Category,Month
Eating Out,Ikea Lunch,6.95,2022-12-10,Nov - Dec 22,49,5,Weekend,12
Shopping,Ikea things,6.26,2022-12-10,Nov - Dec 22,49,5,Weekend,12
Groceries,Groceries,11.46,2022-12-10,Nov - Dec 22,49,5,Weekend,12
Eating Out,Brunch,12.0,2022-12-11,Nov - Dec 22,49,6,Weekend,12
Eating Out,Glühwein,7.5,2022-12-11,Nov - Dec 22,49,6,Weekend,12
Eating Out,Lunch,16.0,2022-12-12,Nov - Dec 22,50,0,Weekday,12
Rent + Bills,Printing,9.16,2022-12-12,Nov - Dec 22,50,0,Weekday,12
Groceries,Groceries ,28.95,2022-12-14,Nov - Dec 22,50,2,Weekday,12
Shopping,Christmas presents + shoes,126.91,2022-12-15,Nov - Dec 22,50,3,Weekday,12
Eating Out,Lunch,10.0,2022-12-16,Nov - Dec 22,50,4,Weekday,12
Groceries,Groceries,8.7,2022-12-17,Nov - Dec 22,50,5,Weekend,12
Groceries,Groceries,16.68,2022-12-17,Nov - Dec 22,50,5,Weekend,12
Rent + Bills,Rent,500.0,2022-12-01,Nov - Dec 22,48,3,Weekday,12
Rent + Bills,Car,20.15,2022-12-21,Nov - Dec 22,51,2,Weekday,12
Transport,BVG,1.8,2022-12-22,Nov - Dec 22,51,3,Weekday,12
Eating Out,McD,4.79,2022-12-23,Nov - Dec 22,51,4,Weekday,12
Transport,BVG Airport,1.8,2022-12-23,Nov - Dec 22,51,4,Weekday,12
Groceries,Toogoodtogo,3.5,2022-12-23,Nov - Dec 22,51,4,Weekday,12
Groceries,Xmas food,23.51,2022-12-23,Nov - Dec 22,51,4,Weekday,12
Shopping,Xmas presents,27.55,2022-12-24,Nov - Dec 22,51,5,Weekend,12
Rent + Bills,Phone,25.0,2022-12-25,Dec - Jan 23,51,6,Weekend,12
Rent + Bills,Google,1.88,2023-01-04,Dec - Jan 23,1,2,Weekday,1
Rent + Bills,Personal Liability Insurance,4.94,2023-01-01,Dec - Jan 23,52,6,Weekend,1
Student Loan,Student Loan,82.95,2023-01-10,Dec - Jan 23,2,1,Weekday,1
Rent + Bills,UK Phone,14.68,2023-01-13,Dec - Jan 23,2,4,Weekday,1
Rent + Bills,Legal Insurance,35.0,2023-01-01,Dec - Jan 23,52,6,Weekend,1
Shopping,Xmas presents,18.53,2022-12-25,Dec - Jan 23,51,6,Weekend,12
Eating Out,Beers,10.0,2022-12-25,Dec - Jan 23,51,6,Weekend,12
Hobbies,Pádel,14.0,2022-12-26,Dec - Jan 23,52,0,Weekday,12
Hobbies,Cards,5.0,2022-12-26,Dec - Jan 23,52,0,Weekday,12
Hobbies,Norwegian,18.82,2022-12-27,Dec - Jan 23,52,1,Weekday,12
Groceries,Groceries,4.02,2022-12-27,Dec - Jan 23,52,1,Weekday,12
Rent + Bills,Rent,500.0,2023-01-01,Dec - Jan 23,52,6,Weekend,1
Groceries,Groceries,7.5,2023-01-03,Dec - Jan 23,1,1,Weekday,1
Groceries,Groceries,4.66,2023-01-08,Dec - Jan 23,1,6,Weekend,1
Selfcare,Douglas,32.76,2023-01-11,Dec - Jan 23,2,2,Weekday,1
Selfcare,PromoFarma,52.36,2023-01-11,Dec - Jan 23,2,2,Weekday,1
Selfcare,Haircut,24.0,2023-01-13,Dec - Jan 23,2,4,Weekday,1
Rent + Bills,Ethernet,5.0,2023-01-13,Dec - Jan 23,2,4,Weekday,1
